name,price,product_url,브랜드,부위,gender,collaborate,uniform,sport,image_path,prob_cute,prob_hiphop,prob_classic,prob_interview,prob_date(first),prob_maturity,prob_luxury,prob_date,prob_casual,prob_young,prob_sexy,prob_trip,prob_beautiful,prob_lovely,prob_unique,prob_pretty,prob_picnic,prob_pattern,prob_Scary,prob_influencer,prob_work,prob_nice,prob_party,prob_sports,prob_art,predicted_labels
챌린저 드라이 핏 우븐 러닝 팬츠 M - 블랙 / FQ4781-010,95000,https://www.musinsa.com/products/3975921,nike,bottom,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
드라이 핏 클럽 스트럭처 스우시 캡 - 블랙:화이트 / FB5625-010,35000, https://www.musinsa.com/products/4208150,nike,hat,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
드라이 핏 폼 7인치 언라인드 버서타일 쇼츠 M - 블랙:화이트 / DV9858-010,55000,https://www.musinsa.com/products/4172811,nike,bottom,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스트라이드 드라이 핏 우븐 러닝 팬츠 M - 블랙 / HV4545-010,115000,https://www.musinsa.com/products/4851405,nike,bottom,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
드라이 핏 챌린저 7인치 투인원 버서타일 쇼츠 M - 블랙 / DV9358-010,59000,https://www.musinsa.com/products/4851379,nike,bottom,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACG Lungs 써마 핏 리펠 터프 플리스 팬츠 M - 블랙:앤트러사이트:서밋 화이트 / FV8651-010,145000,https://www.musinsa.com/products/4668537,nike,bottom,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACG 스미스 서밋 카고 팬츠 M - 블랙:안트라사이트:서밋 화이트 / FN0429-010,239000,https://www.musinsa.com/products/4577688,ACG,bottom,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deux 트랙 팬츠 - 블루 / IU4782,54990,https://www.musinsa.com/products/3625384,adidas,bottom,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시티 스케이트 팬츠 - 카키 / JC6838,86990,https://www.musinsa.com/products/4415135,adidas,bottom,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오운더런 3S 팬츠 IK4982,71200,https://www.musinsa.com/products/4160587,adidas,bottom,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
